郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,事業所名,事業所名カナ,事業所住所,新住所CD,住所,情報,列1
498-8502,愛知県,アイチケン,弥富市,ヤトミシ,前ケ須町,愛知県厚生農業協同組合連合会　海南病院,アイチケンコウセイノウギヨウキヨウドウクミアイレンゴウカイ　カイナンビヨウイン,前ケ須町南本田３９６,,愛知県弥富市前ケ須町,1,1
465-8558,愛知県,アイチケン,名古屋市名東区,ナゴヤシメイトウク,猪高台,愛知県　名東警察署,アイチケン　メイトウケイサツシヨ,猪高台２丁目１００９,,愛知県名古屋市名東区猪高台,2,2
465-8507,愛知県,アイチケン,名古屋市名東区,ナゴヤシメイトウク,社台,愛知県立　千種高等学校,アイチケンリツ　チグサコウトウガツコウ,社台２丁目２０６,,愛知県名古屋市名東区社台,3,3
465-8515,愛知県,アイチケン,名古屋市名東区,ナゴヤシメイトウク,平和が丘,愛知東邦大学,アイチトウホウダイガク,平和が丘３丁目１１番地,,愛知県名古屋市名東区平和が丘,4,4
462-8739,愛知県,アイチケン,名古屋市北区,ナゴヤシキタク,名城,愛知学院大学,アイチガクインダイガク,名城３－１－１,,愛知県名古屋市北区名城,5,5
462-8576,愛知県,アイチケン,名古屋市北区,ナゴヤシキタク,辻町,愛知県　衛生研究所,アイチケン　エイセイケンキユウジヨ,辻町流７番６,,愛知県名古屋市北区辻町,6,6
462-8551,愛知県,アイチケン,名古屋市北区,ナゴヤシキタク,上飯田西町,アサダ　株式会社,アサダ　カブシキガイシヤ,上飯田西町３丁目６０,,愛知県名古屋市北区上飯田西町,7,7
456-8601,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,川並町,愛知機械工業　株式会社,アイチキカイコウギヨウ　カブシキガイシヤ,川並町２－１２,,愛知県名古屋市熱田区川並町,8,8
456-8523,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,桜田町,愛知日産自動車　株式会社,アイチニツサンジドウシヤ　カブシキガイシヤ,桜田町２０－３４,,愛知県名古屋市熱田区桜田町,9,9
456-8666,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,神野町,アイホン　株式会社,アイホン　カブシキガイシヤ,神野町２丁目１８番地,,愛知県名古屋市熱田区神野町,10,10
456-8567,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,伝馬,熱田社会保険事務所,アツタシヤカイホケンジムシヨ,伝馬２丁目３－１９,,愛知県名古屋市熱田区伝馬,11,11
456-8585,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,神宮,熱田神宮宮庁,アツタジングウキユウチヨウ,神宮一丁目１－１,,愛知県名古屋市熱田区神宮,12,12
456-8711,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,花表町,熱田税務署,アツタゼイムシヨ,花表町７－１７,,愛知県名古屋市熱田区花表町,13,13
456-8763,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,六野,イオン熱田ショッピングセンター,イオンアツタシヨツピングセンター,六野１丁目２－１１,,愛知県名古屋市熱田区六野,14,14
456-8610,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,新尾頭,伊藤忠食品　株式会社　東海営業本部,イトウチユウシヨクヒン　カブシキガイシヤ　トウカイエイギヨウホンブ,新尾頭一丁目６番９号,,愛知県名古屋市熱田区新尾頭,15,15
457-8515,愛知県,アイチケン,名古屋市南区,ナゴヤシミナミク,曽池町,愛精病院,アイセイビヨウイン,曽池町４丁目２８番地,,愛知県名古屋市南区曽池町,16,16
461-8605,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,葵,（株）　ＮＴＴデータ　東海支社,（カブ）　エヌテイテイデ－タ　トウカイシシヤ,葵１丁目２０－６,,愛知県名古屋市東区葵,17,17
461-8631,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,東外堀町,（株）　三和化学研究所,（カブ）　サンワカガクケンキユウシヨ,東外堀町３５,,愛知県名古屋市東区東外堀町,18,18
461-8577,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,白壁,（株）　レアールパスコベーカリーズ　名古屋本部,（カブ）　レア－ルパスコベ－カリ－ズ　ナゴヤホンブ,白壁５丁目３番地,,愛知県名古屋市東区白壁,19,19
461-8525,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,東桜,愛知芸術文化センター,アイチゲイジユツブンカセンタ－,東桜１丁目１３－２,,愛知県名古屋市東区東桜,20,20
461-8532,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,泉,愛知県国民健康保険団体連合会,アイチケンコクミンケンコウホケンダンタイレンゴウカイ,泉１丁目６番５号,,愛知県名古屋市東区泉,21,21
461-8639,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,東桜,愛知国際放送　株式会社,アイチコクサイホウソウ　カブシキガイシヤ,東桜１丁目１０－３７,,愛知県名古屋市東区東桜,22,22
461-8641,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,筒井,愛知大学,アイチダイガク,筒井２丁目１０－３１,,愛知県名古屋市東区筒井,23,23
461-8531,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,泉,アスゲン製薬　株式会社,アスゲンセイヤク　カブシキガイシヤ,泉２丁目２８－８,,愛知県名古屋市東区泉,24,24
461-8630,愛知県,アイチケン,名古屋市東区,ナゴヤシヒガシク,相生町,いその　株式会社,イソノ　カブシキガイシヤ,相生町５５,,愛知県名古屋市東区相生町,25,25
468-8513,愛知県,アイチケン,名古屋市天白区,ナゴヤシテンパクク,天白町平針,愛知県警察運転免許試験場,アイチケンケイサツウンテンメンキヨシケンジヨウ,天白町平針黒石２８４５,,愛知県名古屋市天白区天白町平針,26,26
468-8532,愛知県,アイチケン,名古屋市天白区,ナゴヤシテンパクク,井の森町,安藤技建　株式会社,アンドウギケン　カブシキガイシヤ,井の森町１６３,,愛知県名古屋市天白区井の森町,27,27
453-8558,愛知県,アイチケン,名古屋市中村区,ナゴヤシナカムラク,椿町,愛知県信用保証協会,アイチケンシンヨウホシヨウキヨウカイ,椿町７番９号,,愛知県名古屋市中村区椿町,28,28
453-8758,愛知県,アイチケン,名古屋市中村区,ナゴヤシナカムラク,平池町,愛知大学生活協同組合　名古屋書籍購買店,アイチダイガクセイカツキヨウドウクミアイ　ナゴヤシヨセキコウバイテン,平池町４丁目６０番地６,,愛知県名古屋市中村区平池町,29,29
453-8518,愛知県,アイチケン,名古屋市中村区,ナゴヤシナカムラク,黄金通,愛鉄連厚生年金基金,アイテツレンコウセイネンキンキキン,黄金通１丁目１８,,愛知県名古屋市中村区黄金通,30,30
454-8560,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,新家,（株）　あかのれん　千音寺店,（カブ）　アカノレン　センノンジテン,新家１丁目２４２１番地,,愛知県名古屋市中川区新家,31,31
454-8504,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,富田町千音寺,（株）　鈴木商会,（カブ）　スズキシヨウカイ,富田町千音寺西尼ケ塚２０２,,愛知県名古屋市中川区富田町千音寺,32,32
454-8522,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,篠原橋通,愛知県　中川警察署,アイチケン　ナカガワケイサツシヨ,篠原橋通１丁目４,,愛知県名古屋市中川区篠原橋通,33,33
454-8503,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,中郷,愛知県　名古屋西部県税事務所,アイチケン　ナゴヤセイブケンゼイジムシヨ,中郷１丁目３,,愛知県名古屋市中川区中郷,34,34
454-8565,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,清川町,伊藤ハム　株式会社　名古屋事務所,イトウハム　カブシキガイシヤ　ナゴヤジムシヨ,清川町地内中川運河中幹線Ａ地区第２７号地,,愛知県名古屋市中川区清川町,35,35
454-8525,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,法華,医療法人　偕行会　名古屋共立病院,イリヨウホウジン　カイコウカイ　ナゴヤキヨウリツビヨウイン,法華１丁目１７２,,愛知県名古屋市中川区法華,36,36
